GeneId,Prediction
1,0.481446117
2,0.507977188
3,0.993051529
4,0.1296442
5,0.12311732
6,0.92508626
7,0.052082971
8,0.05905471
9,0.892930686
10,0.049321961
11,0.871502876
12,0.957918763
13,0.054518577
14,0.704812944
15,0.905366838
16,0.999941409
17,0.628284156
18,0.91473943
19,0.978147149
20,0.524606407
21,0.666939616
22,0.152930275
23,0.948028266
24,0.087732337
25,0.13633576
26,0.974227428
27,0.029598475
28,0.480286509
29,0.266307533
30,0.995181978
31,0.788952112
32,0.061742969
33,0.104572743
34,0.97236973
35,0.774212301
36,0.15984717
37,0.132774368
38,0.1248236
39,0.523626029
40,0.042542484
41,0.65161109
42,0.382432699
43,0.970200181
44,0.686939836
45,0.998724401
46,0.956191301
47,0.799609601
48,0.837174773
49,0.988735616
50,0.243960142
51,0.972980082
52,0.355140537
53,0.886396766
54,0.970517337
55,0.987735987
56,0.991784751
57,0.04806434
58,0.646345973
59,0.828754723
60,0.911898971
61,0.558616519
62,0.129957885
63,0.568074703
64,0.920165062
65,0.059624843
66,0.662075877
67,0.90803057
68,0.13952224
69,0.877560914
70,0.948627174
71,0.015207283
72,0.21681276
73,0.029661149
74,0.638404965
75,0.15847303
76,0.100720912
77,0.152155429
78,0.957858324
79,0.746287584
80,0.956017017
81,0.994992614
82,0.079419389
83,0.938283563
84,0.97828263
85,0.919580638
86,0.946109831
87,0.974805176
88,0.034937244
89,0.99834758
90,0.039709792
91,0.793726027
92,0.345877826
93,0.105589516
94,0.585630953
95,0.953492343
96,0.959073782
97,0.553283215
98,0.955688596
99,0.600704372
100,0.657217681
101,0.947484016
102,0.898974121
103,0.972202599
104,0.888975799
105,0.329476029
106,0.954656541
107,0.914487779
108,0.917960286
109,0.84044522
110,0.741721034
111,0.042820271
112,0.811795413
113,0.987093866
114,0.78310746
115,0.884294689
116,0.101221897
117,0.841042638
118,0.964752197
119,0.057484079
120,0.923665881
121,0.05932042
122,0.961209536
123,0.033969007
124,0.949333489
125,0.859497786
126,0.813315868
127,0.69888258
128,0.034129683
129,0.963096678
130,0.716249764
131,0.062199429
132,0.192765638
133,0.989585698
134,0.036113378
135,0.051152308
136,0.419691831
137,0.888159752
138,0.932485998
139,0.491306067
140,0.068480745
141,0.923877716
142,0.959361434
143,0.312799513
144,0.176225469
145,0.962717831
146,0.748055398
147,0.801411927
148,0.922919452
149,0.846167624
150,0.828419626
151,0.956311882
152,0.069854297
153,0.862217426
154,0.742947996
155,0.127742171
156,0.911457658
157,0.983992279
158,0.976649761
159,0.867378116
160,0.973114073
161,0.199722737
162,0.972992718
163,0.996035337
164,0.131238401
165,0.934606671
166,0.060447253
167,0.999362409
168,0.741606414
169,0.283238232
170,0.709007263
171,0.098129638
172,0.062024694
173,0.436784387
174,0.949791253
175,0.866256714
176,0.778129697
177,0.878056705
178,0.718696475
179,0.093376584
180,0.080085285
181,0.231489971
182,0.054773826
183,0.757239819
184,0.877202749
185,0.887471855
186,0.948922753
187,0.93990922
188,0.993436992
189,0.957722425
190,0.992148519
191,0.603677094
192,0.982449889
193,0.209242597
194,0.137827352
195,0.791567266
196,0.718226969
197,0.480851889
198,0.957965314
199,0.404303879
200,0.984949231
201,0.969395697
202,0.042641282
203,0.137369171
204,0.04767644
205,0.154317886
206,0.966047645
207,0.940408528
208,0.995081186
209,0.240318805
210,0.931153953
211,0.037829019
212,0.068402849
213,0.992029786
214,0.992664218
215,0.771973908
216,0.184647158
217,0.193332478
218,0.475349754
219,0.235827789
220,0.210598037
221,0.898712218
222,0.981051683
223,0.931815207
224,0.633217394
225,0.117347695
226,0.878528416
227,0.718958855
228,0.10560751
229,0.041238964
230,0.045221306
231,0.815236688
232,0.058823898
233,0.976251543
234,0.037937466
235,0.912984073
236,0.19528912
237,0.091900341
238,0.894347906
239,0.515881658
240,0.086592458
241,0.034871496
242,0.952671289
243,0.866186321
244,0.971301675
245,0.817178071
246,0.959646344
247,0.866446257
248,0.990739346
249,0.810190499
250,0.991762757
251,0.805903554
252,0.125678867
253,0.109312505
254,0.097725742
255,0.764335752
256,0.090544574
257,0.913961887
258,0.466292053
259,0.841623127
260,0.958479941
261,0.092965446
262,0.839538097
263,0.991955042
264,0.836663187
265,0.62860924
266,0.983433306
267,0.890381992
268,0.087957233
269,0.939999819
270,0.065385483
271,0.877016485
272,0.082068473
273,0.846307039
274,0.940873981
275,0.040824097
276,0.991577864
277,0.270714521
278,0.99704653
279,0.910931766
280,0.049959
281,0.944187045
282,0.481661111
283,0.057259072
284,0.578919351
285,0.999566555
286,0.980941176
287,0.459958166
288,0.098479949
289,0.036873624
290,0.013322408
291,0.002080129
292,0.951842189
293,0.031648077
294,0.048405189
295,0.104642488
296,0.862102628
297,0.963655472
298,0.618172824
299,0.994850516
300,0.672628522
301,0.077068485
302,0.969721615
303,0.805268347
304,0.515479922
305,0.319506288
306,0.085004278
307,0.98985815
308,0.885582447
309,0.751817167
310,0.330157638
311,0.968335211
312,0.812952757
313,0.864765227
314,0.076825127
315,0.125802994
316,0.837305665
317,0.98256731
318,0.972215116
319,0.964166164
320,0.075804576
321,0.789730489
322,0.920954466
323,0.66339159
324,0.658977032
325,0.832103789
326,0.936761737
327,0.064931273
328,0.973533452
329,0.703139722
330,0.973552048
331,0.974575996
332,0.931719124
333,0.062472846
334,0.084186688
335,0.137906626
336,0.947778344
337,0.979462445
338,0.973680079
339,0.699480534
340,0.781322956
341,0.997628212
342,0.403243273
343,0.158715039
344,0.011377644
345,0.990993857
346,0.966636002
347,0.933183074
348,0.021241195
349,0.203251958
350,0.863991916
351,0.076971628
352,0.625438392
353,0.646743596
354,0.983548045
355,0.39035657
356,0.131598115
357,0.583827376
358,0.931154311
359,0.935029507
360,0.970050156
361,0.575205743
362,0.981394351
363,0.047507323
364,0.346627831
365,0.051177774
366,0.984337211
367,0.988497853
368,0.098221399
369,0.299393207
370,0.445672393
371,0.951241791
372,0.091607437
373,0.080144972
374,0.941738725
375,0.488173306
376,0.47011438
377,0.999777496
378,0.31917116
379,0.050765257
380,0.048877105
381,0.904253423
382,0.311582357
383,0.091742814
